"the_geom","boro","unitid","point_x","point_y","cb","latitude","longitude"
"POINT (-73.92208057670982 40.61879190197536)","3","H328269","1005881.877","164728.579","318","40.61879349","-73.92208099"
"POINT (-73.92583031917772 40.618085868980216)","3","H324635","1004841.097","164470.449","318","40.61808777","-73.92582703"
"POINT (-73.9526000667159 40.71089613191065)","3","H306703","997390.944","198278.682","301","40.71089554","-73.95259857"
"POINT (-73.98690842243064 40.60242244480693)","3","H313045","987885.3565","158755.41075","311","40.60242","-73.9869"
"POINT (-74.1465192552791 40.55577451437182)","5","H509226","943535.149","141794.187","503","40.55577469","-74.14652252"
"POINT (-73.79528199909949 40.76226529515568)","4","H422947","1040961.309","217056.801","407","40.76226425","-73.79528046"
"POINT (-73.97271817122987 40.6087583429687)","3","H318758","991825.081","161064.65","315","40.60875702","-73.97271729"
"POINT (-73.8338112069092 40.69067818745438)","4","H424813","1030337.38175","190952.84575","409","40.69067764","-73.8338089"
"POINT (-73.89310419760714 40.86524322041956)","2","H204275","1013816.682","254527.12","207","40.865242","-73.89310455"
"POINT (-73.94057813048917 40.629578917119346)","3","H319759","1000743.948","168654.548","318","40.62957764","-73.94057465"
"POINT (-74.16249032576765 40.54134735906667)","5","H508278","939087.354","136545.866","503","40.5413475","-74.16249084"
"POINT (-73.85791091902831 40.686712874233194)","4","H428598","1023656.413","189496.408","409","40.68671417","-73.85791016"
"POINT (-73.72833109619177 40.75871582143782)","4","H417809","1059512.114","215814.05","411","40.75871658","-73.72833252"
"POINT (-73.9266784299305 40.736767697924726)","4","H439104","1004569.45075","207709.44125","402","40.73676682","-73.92668152"
"POINT (-73.76268863293244 40.75253499651818)","4","H420715","1049999.959","213534.53","411","40.75253677","-73.76268768"
"POINT (-73.9806915336859 40.68060535534959)","3","H305981","989605.425","187239.892","306","40.68060684","-73.98069"
"POINT (-73.87836128650211 40.82163712263949)","2","H209977","1017916.534","238645.114","209","40.8216362","-73.87836456"
"POINT (-74.21769211443879 40.543196701252015)","5","H500817","923746.242","137252.918","503","40.54319763","-74.21768951"
"POINT (-73.89211773782048 40.72488397126075)","4","H435758","1014152.51","203389.738","405","40.72488403","-73.89212036"
"POINT (-73.89621003879317 40.84956056154678)","2","H203888","1012964.397","248812.295","206","40.84955978","-73.89620972"
"POINT (-73.92239976856835 40.767443695584795)","4","H438514","1005745.286","218886.716","401","40.76744461","-73.92240143"
"POINT (-74.16633296864872 40.55334360026747)","5","H505789","938027.628","140918.38","503","40.55334473","-74.16633606"
